branch_name,unit_type,discount_price
종각역점,,77200
종각역점,대표유닛,79020
을지로점,,99980
시청역점,,53130
대학로점,,131520
한성대점,,87280
용산점,,79490
공덕역2호점,,109340
공덕역점,,144640
황학아크로타워점,,87670
황학롯데캐슬점,,93150
보문역점,,76370
용산원효점,,100720
한남점,,78620
왕십리역점,,98480
합정역점,,135670
새절역점,,69830
성산점,,134780
서울숲2호점,,73280
서울숲점,,96730
불광역점,,152880
뚝섬역점,,59660
답십리역점,,75140
노량진역점,,57670
성수역 2호점,,54080
DMC역공항철도점,,236670
논현역점,,69360
상도점,,103990
학동역점,,100180
성수역점,,68460
사평역점,,77960
외대점,,57150
장안점,,69090
신논현역점,,133650
상암DMC점,,80000
선유도역점,,69830
수유2호점,,69280
영등포시장점,,51820
선정릉역점,,77790
청담점,,156220
교대역점,,72240
건대점,,149110
신대방삼거리역점,,89490
군자역7번출구점,,100640
역삼국기원점,,79240
수유역점,,87350
향동점,,66910
중랑역점,,44200
이수역사거리점,,70440
이수사당점,,58010
염창한강점,,65120
역삼테헤란점,,64600
목동점,,100630
이수역점,,67920
강남역점,,68620
덕성여대점,,59100
코엑스점,,125460
문래역점,,133900
역삼점,,78530
서초점,,62980
선릉역점,,300600
염창로보점,,76210
오목교점,,88060
면목동우체국점,,59660
서울대입구역점,,121590
서초방배점,,64630
도림천역점,,70750
중화동점,,55450
면목역점,,57850
삼성역점,,58750
대치2호점,,101370
상봉역점,,57270
낙성대역점,,112500
태릉입구역점,,58120
휘문고점,,267290
양재역점,,87150
양재도곡점,,70840
대치점,,146620
목동2호점,,77070
등촌점,,51290
쌍문점,,71940
구로역점,,64100
화곡점,,55570
강서구청점,,61120
구로디지털단지역점,,63450
창동역점,,82190
구로STX-W타워점,,68370
광나루점,,75170
개포점,,76710
가양점,,74370
삼송역점,,125630
서울대벤처타운역점,,64280
구로하이엔드점,,64080
롯데월드점,,69630
노원역점,,77790
신월동점,,51700
방학CGV점,,59740
독산점,,67970
잠실점,,61550
가산아스크타워점,,54990
풍납점,,150270
독산현대지식산업센터점,,54980
가산디지털단지역점,,73950
마곡역점,,94650
암사역점,,52460
올림픽공원점,,89860
스페이스마켓1호점,,47380
암사동점,,48420
가산점,,126290
철산점,,77830
강동역점,,87670
둔촌동역점,,46040
강동캐슬점,,62300
구리갈매점,,61540
오금역점,,54280
과천중앙점,,49720
광명소하점,,54930
명일동점,,169840
고덕역점,,46110
거여초점,,53400
가든파이브점,,389840
거여역점,,73270
마천역점,,46680
부천옥길점,,133930
남위례역점,,78910
일산벨라시타점,,71300
인덕원점,,70980
미사역점,,80250
부천역점,,70050
일산이마트점,,58030
안양만안점,,161650
판교점,,72240
성남은행동점,,58350
명학역점,,52760
단대오거리점,,79510
상동역점,,58810
하남스타필드점,,44550
시흥은계점,,78340
야탑역점,,88670
송내역점,,36190
중탑사거리점,,198870
부평삼산점,,62640
주엽역점,,97920
김포풍무점,,63310
킨텍스역점,,73940
부평구청역점,,41970
일산대화역점,,75200
서현점,,66260
부평시장역점,,96120
분당수내역점,,79020
인천만수점,,32860
김포파인스타점,,60850
인천서창점,,66750
인천구월동점,,38370
시흥장현점,,61820
김포운양동점,,52760
파주교하점,,44190
용인죽전점,,44400
광교역점,,0
안산시청점,,52220
김포마산점,,45180
김포양촌점,,31200
청라점,,71590
연수점,,36400
서수원터미널점,,57510
동수원사거리점,,85120
김포구래점,,64640
수원서둔동점,,52990
수원아주대점,,55620
수원역점,,41180
수원인계점,,90300
송도3호점,,52200
송도테크노파크점,,125050
용인동백점,,69350
권선롯데마트점,,60910
송도점,,141010
송도센텀점,,71480
수원영통점,,51690
수원경희대점,,45240
수원곡반정점,,49290
망포점,,55140
기흥서천점,,60040
화성봉담점,,47970
병점역점,,68350
동탄점,,69530
동탄IX타워점,,55680
동탄테크노밸리점,,39770
세마역점,,51040
운서역점,,60770
동탄호수공원점,,73190
평택캠프험프리스점,,41080
청주복대점,,79540
세종호수공원점,,55100
대전정부청사역점,,62820
대전용문역점,,62360
속초중앙점,,34000
대구CGV점,,114080
창원경상대병원점,,47110
여수시청점,,45260
부산동래역점,,52200
부산연산점,,59160
부산명지점,,34250
부산일광역점,,37260
부산중앙역점,,93180
해운대장산역점,,74580
분당수내역점,대표유닛,79020
마천역점,대표유닛,46680
암사역점,대표유닛,52460
수원역점,대표유닛,41180
쌍문점,대표유닛,71940
스페이스마켓1호점,대표유닛,47380
부산동래역점,대표유닛,52200
김포파인스타점,대표유닛,60850
시흥장현점,대표유닛,61820
수원서둔동점,대표유닛,52990
거여초점,대표유닛,53400
창원경상대병원점,대표유닛,47110
상봉역점,대표유닛,57270
서초방배점,대표유닛,64630
판교점,대표유닛,72240
병점역점,대표유닛,68350
화성봉담점,대표유닛,47970
속초중앙점,대표유닛,34000
용인동백점,대표유닛,69350
인천구월동점,대표유닛,38370
해운대장산역점,대표유닛,74580
삼송역점,대표유닛,125630
선정릉역점,대표유닛,77790
인덕원점,대표유닛,70980
새절역점,대표유닛,69830
덕성여대점,대표유닛,59100
창동역점,대표유닛,82190
망포점,대표유닛,55140
운서역점,대표유닛,60770
고덕역점,대표유닛,46110
