지점명,지점 주소,지역,수집일시
강동성내점,서울 강동구 성안로 103 지하 1층,서울,2026-06-16 21:49
분당수내역점,경기 성남시 분당구 수내동 19-3 지하 1층,경기,2026-06-16 21:49
마천역점,서울 송파구 마천로41길 25 B1,서울,2026-06-16 21:49
암사역점,"서울 강동구 올림픽로98길 8 지하 1층, 지하 2",서울,2026-06-16 21:49
수원역점,경기 수원시 권선구 세화로 118 1층 ~ 3층,경기,2026-06-16 21:49
쌍문점,서울 도봉구 도봉로 555 LG베스트샵 쌍문본점 3층,서울,2026-06-16 21:49
스페이스마켓1호점,서울 금천구 시흥동 789-21 원앙하우스 2F,서울,2026-06-16 21:49
부산동래역점,"부산 동래구 충렬대로 152 1층 101호, 102호",부산,2026-06-16 21:49
김포파인스타점,경기 김포시 걸포2로 83 지하 1층,경기,2026-06-16 21:49
시흥장현점,경기 시흥시 장현서4길 34 1층,경기,2026-06-16 21:49
수원서둔동점,경기 수원시 권선구 상탑로 119 1층,경기,2026-06-16 21:49
거여초점,서울 송파구 오금동 119-4 지하 1층,서울,2026-06-16 21:49
창원경상대병원점,경남 창원시 성산구 삼정자로51번길 7 지하 1층 104호,경남,2026-06-16 21:49
속초중앙점,강원특별자치도 속초시 중앙로 96 지하 2층,강원특별자치도,2026-06-16 21:49
상봉역점,서울 중랑구 면목로92라길 2 월디움상봉 지하 1층 101호,서울,2026-06-16 21:49
서초방배점,서울 서초구 방배로6길 13 배영빌딩 지하 1층,서울,2026-06-16 21:49
판교점,경기 성남시 수정구 대왕판교로 812 지하 1층,경기,2026-06-16 21:49
병점역점,경기 화성시 경기대로 1014 202-1호,경기,2026-06-16 21:49
화성봉담점,경기 화성시 효행구 봉담읍 동화리 600-3 파크프라자 504호,경기,2026-06-16 21:49
용인동백점,경기 용인시 기흥구 동백중앙로 283 D동 403호,경기,2026-06-16 21:49
인천구월동점,인천 남동구 인주대로 747 지하 1층,인천,2026-06-16 21:49
해운대장산역점,부산 해운대구 세실로 64 화목데파트 지하 1층 163호,부산,2026-06-16 21:49
삼송역점,경기 고양시 덕양구 동송로 30 MBN스튜디오 지하 1층 105,경기,2026-06-16 21:49
선정릉역점,서울 강남구 선릉로 577 CR TOWER 지하 1층,서울,2026-06-16 21:49
인덕원점,경기 안양시 동안구 시민대로365번길 40 동일테크노타운 C동 지하1층 3010호,경기,2026-06-16 21:49
새절역점,서울 은평구 응암동 600-2 남창빌딩 2층,서울,2026-06-16 21:49
덕성여대점,서울 강북구 삼양로 486 2층,서울,2026-06-16 21:49
창동역점,서울 도봉구 마들로11길 57 5층 501호,서울,2026-06-16 21:49
망포점,"경기 화성시 영통로60번길 7 지하 1층 134호, 135호",경기,2026-06-16 21:49
고덕역점,서울 강동구 동남로73길 26 고덕복합빌딩 지하 1층,서울,2026-06-16 21:49
낙성대역점,서울 관악구 남부순환로 1933 제이더블유타워 지하2층,서울,2026-06-16 21:49
운서역점,인천 중구 영종대로 166 지상 2층 222호 / 223호,인천,2026-06-16 21:49
외대점,서울 동대문구 이문로 94 지하1층,서울,2026-06-16 21:49
동대문리마크빌,서울 중구 다산로 258 4층 - 21층 전체,서울,2026-06-16 21:49
중탑사거리점,경기 성남시 분당구 장미로140번길 3-13 1층,경기,2026-06-16 21:49
합정역점,서울 마포구 양화로10길 37 지하 2층,서울,2026-06-16 21:49
향동점,경기 고양시 덕양구 향동로 201 8층 ,경기,2026-06-16 21:49
부평삼산점,인천 부평구 충선로209번길 13 3층 311,인천,2026-06-16 21:49
송도센텀점,인천 연수구 송도동 30-6 더샵송도센텀하이브 오피스 A동 2512~2513호,인천,2026-06-16 21:49
김포마산점,경기 김포시 김포한강7로22번길 174-123 1층,경기,2026-06-16 21:49
상동역점,경기 부천시 원미구 상동 538-7 3층 305호,경기,2026-06-16 21:49
보문역점,서울 성북구 보문로 75 스텔라153오피스텔 B01호,서울,2026-06-16 21:49
동탄호수공원점,경기 화성시 동탄순환대로12길 8 3층,경기,2026-06-16 21:49
송도테크노파크점,인천 연수구 송도과학로16번길 13-18 건원 테크노 큐브 B1,인천,2026-06-16 21:49
종각역점,서울 중구 다동 85 B104호,서울,2026-06-16 21:49
이수사당점,서울 동작구 동작대로23길 7 엘리지움 지하 1층 101호,서울,2026-06-16 21:49
광교역점,"경기 수원시 영통구 이의동 1256-4 지하 1층 L103호, L104호",경기,2026-06-16 21:49
김포풍무점,"경기 김포시 풍무로 128  2층, 213, 213-1호",경기,2026-06-16 21:49
노량진역점,서울 동작구 노량진동 125-14 지하 1층,서울,2026-06-16 21:49
수원경희대점,경기 수원시 영통구 영일로6번길 49 2층 201,경기,2026-06-16 21:49
부평구청역점,인천 부평구 갈산동 381 지하 1층,인천,2026-06-16 21:49
청량리역점,서울 동대문구 왕산로 186 우남SL타워300 401호,서울,2026-06-16 21:49
수원영통점,경기 수원시 영통구 영통로 237 에이스하이앤드타워 지하4층 402호 ~ 409,경기,2026-06-16 21:49
올림픽공원점,서울 송파구 백제고분로 505 B1 층 ,서울,2026-06-16 21:49
암사동점,서울 강동구 암사동 456 지하 1층,서울,2026-06-16 21:49
서울대벤처타운역점,서울 관악구 신림로17길 86 지하 1층,서울,2026-06-16 21:49
독산현대지식산업센터점,서울 금천구 독산동 291-1 현대지식산업센터 B동 14층,서울,2026-06-16 21:49
송내역점,경기 부천시 원미구 상동 407-1 대양훼미리코아 B1 제102호,경기,2026-06-16 21:49
부산연산점,부산 연제구 반송로 89 2층,부산,2026-06-16 21:49
염창로보점,서울 강서구 공항대로71길 19 로보사옥 지하 2층,서울,2026-06-16 21:49
평택캠프험프리스점,경기 평택시 팽성읍 팽성대교길 165 2층,경기,2026-06-16 21:49
여수시청점,전남 여수시 시청서3길 14 1층,전남,2026-06-16 21:49
용인죽전점,경기 용인시 수지구 현암로 135 베스트프라자 6층 602호,경기,2026-06-16 21:49
수유2호점,서울 강북구 도봉로71가길 45 씨엘블루 지하1층 102호,서울,2026-06-16 21:49
수원곡반정점,경기 수원시 권선구 곡반정동 552-8 곡반정동빌딩,경기,2026-06-16 21:49
연수점,인천 연수구 새말로 6 2층 204호,인천,2026-06-16 21:49
이랜드 PEER 대명,대구 남구 명덕로 142 이랜드 PEER 대명 1단지 지하 2층,대구,2026-06-16 21:49
세마역점,"경기 오산시 독산성로 425 더퍼스트타워세교 B101호, B102호",경기,2026-06-16 21:49
대전용문역점,대전 서구 괴정동 423-4 5층 507호,대전,2026-06-16 21:49
이랜드 PEER 둔산,대전 서구 한밭대로 817 이랜드 PEER 둔산 지하 1층,대전,2026-06-16 21:49
철산점,경기 광명시 시청로 50 철산역 롯데캐슬 & SK VIEW 클래스티지 지하 1층,경기,2026-06-16 21:49
부천역점,"경기 부천시 소사구 경인로 261-1 2,3,4,5 층",경기,2026-06-16 21:49
청주복대점,충북 청주시 흥덕구 복대로 179 메디포스빌딩 502호,충북,2026-06-16 21:49
안양만안점,경기 안양시 만안구 덕천로152번길 25 안양아이에스비즈타워 B동 B2,경기,2026-06-16 21:49
면목역점,서울 중랑구 겸재로42길 24 지하 1층 101호,서울,2026-06-16 21:49
구로하이엔드점,"서울 구로구 디지털로26길 5 지하 1층 B103, B103-1호",서울,2026-06-16 21:49
오금역점,서울 송파구 가락동 16-18 지하 1층,서울,2026-06-16 21:49
신논현역점,서울 서초구 강남대로 483 B1,서울,2026-06-16 21:49
