gender,age_group,occupation,housing_type,move_frequency,storage_need_score,pain_score,trust_score,has_rental_experience,consignment_positive,is_single_household,pain_transport,pain_space,pain_cost,segment_main,segment_stp,service_preference,service_strong_preference,composite_fit
남자,20대,대학생,1인 가구,2,5,5.0,2.0,0,1,1,0,1,0,main_student,A_기숙사생_대학생,1,1,1
남자,20대,무직,4인 가구 이상,2,5,3.0,3.0,0,1,0,0,0,0,expansion_non_student,expansion_기타,0,0,0
여자,20대,대학생,1인 가구,3,5,2.0,5.0,0,1,1,0,0,0,main_student,A_기숙사생_대학생,1,1,1
남자,20대,대학생,1인 가구,2,3,1.0,5.0,1,1,1,0,0,1,main_student,A_기숙사생_대학생,1,1,0
남자,20대,대학생,4인 가구 이상,2,5,4.0,4.0,0,1,0,1,1,0,main_student,A_기숙사생_대학생,1,1,1
여자,20대,대학생,1인 가구,4,5,5.0,5.0,1,1,1,1,0,1,main_student,A_기숙사생_대학생,1,1,1
남자,20대,취업 준비 중,1인 가구,2,5,5.0,2.0,1,1,1,1,0,0,expansion_non_student,expansion_취준생,1,1,1
여자,30대,직장인,4인 가구 이상,2,4,4.0,4.0,0,1,0,0,1,1,expansion_non_student,C_장기출장_직장인,1,0,1
여자,30대,취업 준비 중,1인 가구,4,5,4.0,4.0,1,1,1,1,0,1,expansion_non_student,expansion_취준생,1,0,1
여자,30대,취업 준비 중,3인 가구,4,5,4.0,2.0,1,1,0,1,0,1,expansion_non_student,expansion_취준생,1,0,1
여자,20대,취업 준비 중,4인 가구 이상,2,4,3.0,2.0,1,1,0,0,0,0,expansion_non_student,expansion_취준생,1,0,1
남자,20대,취업 준비 중,1인 가구,2,5,5.0,2.0,1,1,1,1,0,0,expansion_non_student,expansion_취준생,1,1,1
여자,30대,취업 준비 중,2인 가구,2,5,5.0,3.0,0,0,0,1,0,0,expansion_non_student,expansion_취준생,0,0,0
여자,30대,취업 준비 중,3인 가구,0,1,1.0,4.0,0,0,0,0,0,0,expansion_non_student,expansion_취준생,0,0,0
남자,20대,대학생,4인 가구 이상,3,3,3.0,3.0,1,1,0,0,0,0,main_student,A_기숙사생_대학생,1,1,0
남자,20대,취업 준비 중,4인 가구 이상,3,5,3.0,3.0,1,1,0,1,0,0,expansion_non_student,expansion_취준생,1,0,1
남자,40대,자영업자,3인 가구,2,5,4.0,4.0,1,1,0,1,1,1,expansion_non_student,B_계절근로_자영업,1,0,1
남자,20대,대학생,1인 가구,2,4,4.0,2.0,1,1,1,0,0,0,main_student,A_기숙사생_대학생,1,0,1
여자,20대,대학생,1인 가구,3,5,5.0,5.0,1,1,1,1,1,0,main_student,A_기숙사생_대학생,1,1,1
남자,20대,직장인,1인 가구,2,4,4.0,4.0,1,1,1,0,1,0,expansion_non_student,C_장기출장_직장인,1,0,1
남자,20대,직장인,4인 가구 이상,2,4,5.0,4.0,1,1,0,0,1,0,expansion_non_student,C_장기출장_직장인,1,1,1
남자,40대,프리랜서,1인 가구,0,4,3.0,3.0,1,1,1,0,1,1,expansion_non_student,B_계절근로_프리랜서,0,0,0
여자,50대이상,취업 준비 중,4인 가구 이상,3,2,3.0,2.0,1,0,0,0,1,0,expansion_non_student,expansion_취준생,0,0,0
남자,50대이상,프리랜서,4인 가구 이상,0,2,2.0,3.0,0,1,0,0,1,1,expansion_non_student,B_계절근로_프리랜서,0,0,0
여자,30대,취업 준비 중,1인 가구,4,5,4.0,4.0,1,1,1,1,0,1,expansion_non_student,expansion_취준생,1,0,1
여자,20대,대학생,1인 가구,3,5,4.0,4.0,1,1,1,1,0,1,main_student,A_기숙사생_대학생,1,1,1
여자,20대,대학생,2인 가구,3,4,3.0,4.0,1,1,0,1,0,0,main_student,A_기숙사생_대학생,1,0,1
남자,20대,대학생,2인 가구,2,1,1.0,5.0,0,1,0,0,0,0,main_student,A_기숙사생_대학생,0,0,0
남자,20대,대학생,4인 가구 이상,0,1,2.0,4.0,0,1,0,1,1,0,main_student,A_기숙사생_대학생,1,1,0
남자,20대,대학생,4인 가구 이상,0,1,3.0,3.0,0,1,0,0,0,0,main_student,A_기숙사생_대학생,0,0,0
남자,20대,대학생,4인 가구 이상,2,4,4.0,3.0,1,1,0,1,0,0,main_student,A_기숙사생_대학생,0,0,0
남자,20대,대학생,2인 가구,2,5,3.0,3.0,1,1,0,0,1,0,main_student,A_기숙사생_대학생,1,0,1
남자,20대,대학생,4인 가구 이상,2,5,4.0,3.0,1,1,0,1,1,0,main_student,A_기숙사생_대학생,1,0,1
여자,20대,대학생,4인 가구 이상,2,4,2.0,2.0,0,1,0,1,0,1,main_student,A_기숙사생_대학생,0,0,0
남자,10대,대학생,4인 가구 이상,0,1,4.0,4.0,1,0,0,1,0,0,main_student,A_기숙사생_대학생,1,0,0
남자,20대,대학생,4인 가구 이상,3,4,2.0,4.0,1,1,0,0,0,1,main_student,A_기숙사생_대학생,1,0,1
여자,20대,대학생,1인 가구,3,3,4.0,4.0,1,1,1,1,1,0,main_student,A_기숙사생_대학생,1,0,0
남자,20대,취업 준비 중,1인 가구,2,4,5.0,5.0,1,1,1,0,1,0,expansion_non_student,expansion_취준생,1,0,1
남자,20대,취업 준비 중,1인 가구,3,4,5.0,2.0,1,1,1,0,1,0,expansion_non_student,expansion_취준생,1,1,1
남자,20대,직장인,1인 가구,4,5,5.0,4.0,1,1,1,1,1,1,expansion_non_student,C_장기출장_직장인,1,1,1
남자,20대,직장인,1인 가구,3,4,5.0,4.0,1,1,1,0,0,1,expansion_non_student,C_장기출장_직장인,1,1,1
남자,20대,대학생,1인 가구,3,5,5.0,5.0,1,1,1,1,0,0,main_student,A_기숙사생_대학생,1,1,1
여자,20대,대학생,1인 가구,3,5,5.0,5.0,1,1,1,1,1,0,main_student,A_기숙사생_대학생,1,1,1
남자,20대,대학생,1인 가구,3,4,5.0,5.0,1,1,1,1,0,0,main_student,A_기숙사생_대학생,1,1,1
남자,20대,대학생,1인 가구,3,5,5.0,5.0,1,1,1,0,0,0,main_student,A_기숙사생_대학생,1,1,1
여자,20대,대학생,1인 가구,3,4,5.0,4.0,1,1,1,1,0,0,main_student,A_기숙사생_대학생,1,1,1
남자,20대,취업 준비 중,1인 가구,2,4,5.0,5.0,1,1,1,0,0,0,expansion_non_student,expansion_취준생,1,1,1
여자,30대,취업 준비 중,1인 가구,2,4,3.0,4.0,1,1,1,0,0,1,expansion_non_student,expansion_취준생,1,0,1
여자,20대,대학생,1인 가구,2,3,4.0,4.0,1,1,1,0,0,1,main_student,A_기숙사생_대학생,1,0,0
남자,20대,대학생,1인 가구,2,3,3.0,4.0,1,1,1,0,1,0,main_student,A_기숙사생_대학생,1,0,0
남자,20대,대학생,1인 가구,2,4,4.0,4.0,1,1,1,0,0,0,main_student,A_기숙사생_대학생,0,0,0
여자,30대,대학생,2인 가구,2,4,4.0,4.0,1,1,0,0,1,0,main_student,A_기숙사생_대학생,1,0,1
여자,30대,대학생,1인 가구,2,4,4.0,4.0,1,1,1,1,1,1,main_student,A_기숙사생_대학생,1,0,1
남자,40대,프리랜서,3인 가구,2,4,2.0,4.0,1,1,0,1,1,1,expansion_non_student,B_계절근로_프리랜서,0,0,0
여자,20대,직장인,1인 가구,2,5,4.0,4.0,1,1,1,1,1,0,expansion_non_student,C_장기출장_직장인,1,0,1
여자,20대,대학생,2인 가구,2,5,4.0,4.0,1,1,0,1,1,0,main_student,A_기숙사생_대학생,1,0,1
남자,20대,대학생,1인 가구,2,5,4.0,4.0,1,1,1,1,1,1,main_student,A_기숙사생_대학생,1,0,1
여자,30대,대학생,1인 가구,2,5,5.0,4.0,1,1,1,1,0,0,main_student,A_기숙사생_대학생,1,0,1
여자,30대,대학생,1인 가구,2,5,4.0,4.0,1,1,1,0,1,0,main_student,A_기숙사생_대학생,1,0,1
여자,30대,직장인,1인 가구,4,5,5.0,5.0,1,1,1,1,0,1,expansion_non_student,C_장기출장_직장인,1,1,1
여자,20대,대학생,1인 가구,2,4,4.0,4.0,1,1,1,1,1,0,main_student,A_기숙사생_대학생,1,0,1
여자,30대,직장인,2인 가구,2,4,3.0,4.0,1,1,0,0,0,1,expansion_non_student,C_장기출장_직장인,1,0,1
남자,20대,취업 준비 중,1인 가구,2,4,5.0,5.0,1,1,1,0,0,1,expansion_non_student,expansion_취준생,1,1,1
여자,20대,대학생,1인 가구,2,4,4.0,4.0,1,1,1,0,1,0,main_student,A_기숙사생_대학생,1,0,1
여자,20대,직장인,1인 가구,3,4,5.0,4.0,1,1,1,1,1,1,expansion_non_student,C_장기출장_직장인,1,0,1
남자,40대,자영업자,4인 가구 이상,4,5,5.0,5.0,1,1,0,1,1,1,expansion_non_student,B_계절근로_자영업,1,1,1
여자,30대,직장인,1인 가구,3,5,4.0,4.0,1,1,1,0,0,1,expansion_non_student,C_장기출장_직장인,1,0,1
여자,20대,대학생,1인 가구,2,4,4.0,5.0,1,1,1,1,1,1,main_student,A_기숙사생_대학생,1,0,1
남자,30대,직장인,2인 가구,3,5,4.0,4.0,1,1,0,0,1,1,expansion_non_student,C_장기출장_직장인,1,0,1
남자,20대,취업 준비 중,1인 가구,2,5,4.0,4.0,1,1,1,1,0,1,expansion_non_student,expansion_취준생,1,0,1
여자,30대,직장인,1인 가구,2,4,4.0,5.0,1,1,1,1,1,1,expansion_non_student,C_장기출장_직장인,1,0,1
여자,30대,직장인,1인 가구,4,4,4.0,4.0,1,1,1,1,0,0,expansion_non_student,C_장기출장_직장인,1,1,1
남자,30대,직장인,1인 가구,4,4,5.0,4.0,1,1,1,1,0,1,expansion_non_student,C_장기출장_직장인,1,0,1
