period,keyword_group,group_purpose,keywords,search_ratio,start_date,end_date,time_unit,collected_at
2025-05-26,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",66.14368,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-06-02,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",67.75392,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-06-09,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",79.19075,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-06-16,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",91.08175,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-06-23,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",74.36003,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-06-30,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",77.9521,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-07-07,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",72.79108,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-07-14,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",66.88687,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-07-21,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",66.14368,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-07-28,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",60.28075,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-08-04,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",68.74483,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-08-11,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",59.00082,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-08-18,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",64.73988,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-08-25,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",68.41453,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-09-01,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",70.56151,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-09-08,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",65.64822,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-09-15,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",62.84062,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-09-22,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",63.6251,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-09-29,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",56.02807,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-10-06,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",46.8208,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-10-13,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",72.29562,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-10-20,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",72.41948,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-10-27,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",64.90503,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-11-03,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",68.1668,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2025-11-10,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",65.89595,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
