content_id,platform_id,platform_name,keyword,title,content_text,comment_count,posted_at
1,4,everytime,기숙사 짐,아 기숙사 짐 빼야 하는데,집에 카드 두고 왔네,1,2026-06-18
2,4,everytime,기숙사 짐,기숙사 택배,기숙사 퇴실시 택배로 짐 보내려고 하는데 방문배송으로 하고 1층에다가 두면 되는건가요?,0,2026-06-11
3,4,everytime,기숙사 짐,고양학사 퇴사할때,"개인물품 택배로 보내야하는데, 나중에 기숙사에서 택배상자 구매할 수 있나요? (아니면 제가 따로 우체국에 가서 짐 싸고 보내야하나요?)",1,2026-05-27
4,4,everytime,기숙사 짐,남산학사,기숙사 1시 반 이전엔 못들어가나요??ㅜ진짜 기차표 없어서 일찍 왓더니짐 때문에 어디 갈 수도 없고 ㅜㅜㅜ,2,2026-02-28
5,4,everytime,기숙사 짐,기숙사 짐 체크리스트같은거 있나요,불안하네..,4,2026-02-24
6,4,everytime,기숙사 짐,기숙사 짐,캐리어로 됨? 택배부침?,0,2026-02-19
7,4,everytime,기숙사 짐,기숙사 짐 얼마나 챙김,캐리어 두개로 챙길생각인데 괜찮으려나,2,2026-02-19
8,4,everytime,기숙사 짐,기숙사 짐넣기,기숙사 짐 언제부터 넣을 수 있나용 ? ? 🥺🥺,6,2026-02-17
9,4,everytime,기숙사 짐,기숙사 택배,기숙사에 옷 택배 보내는 건 너무 빌런인가요..? 😅짐 택배가 아니라 쇼핑몰에서 구매한 거..,2,2026-02-17
10,4,everytime,기숙사 짐,기숙사생들 짐 몇 덩이? 나와요?,"케리어 2개, 상자에 쌓은 짐들, 침구류, 코스트코 가방에 들고 가는 것들 다 합해서 11덩이 나왔는데 너무 많은거 같아서요ㅠ",7,2026-02-16
11,4,everytime,기숙사 짐,고양학사 기숙사 짐,"고양학사 입사 예정인데 지방에 살고 부모님 도움 없이 혼자 올라가야 해서 부피 큰 짐들(침구류 등등) 입사 전에 택배로 부치고 며칠 쓸 것만 캐리어에 꾸려서 올라갈까 싶은데 가능한가요? 주소는 어디로 보내야 하는지, 미리 보내도 되는지 궁금해요 ㅠㅠ",2,2026-02-12
12,4,everytime,기숙사 짐,기숙사에 짐 놓고 본가 갔다가 개강날쯤에 다시 와도 되는 거임?,입사 서약서? 같은 거 쓴 다음에 외박신청서도 써야되나????,0,2026-02-12
13,4,everytime,기숙사 짐,기숙사 짐 어떻게 옮겨요??,택배로 보통 부치고 캐리어 들고 가나요??,0,2026-02-10
14,4,everytime,기숙사 짐,기숙사 합격하고 입소 전 할 일 뭐 있나요?,기숙사 짐 싸고 흉부 x-ray만 찍으면 되나요?,0,2026-02-10
15,4,everytime,기숙사 짐,계절 안들어도 긱사 6개월로 신청하는게 낫나요?,4개월로 하면 한창 기말고사 준비중일때 기숙사 짐 빼야하는게 번거롭다는 글을 인터넷에서 봤어요,11,2026-02-04
16,4,everytime,기숙사 짐,오티랑 기숙사 입사를 같은 날에 하는게 가능할까요,고양캠이고 오티를 20일에 한다는데 기숙사 입사도 20일부터거든요ㅜㅜ기숙사는 입사일 첫날에 들어가는 게 뭔가 마음이 편할 것 같아서 그렇게 하려고 했는데 오티 날짜랑 겹쳐버렸어요 이런 경우에는 짐 대충 넣어놓고 오티랑 뒷풀이 갔다와서 마저 정리하고 그래야 되나요?,2,2026-01-27
17,4,everytime,기숙사 짐,기숙사 짐,부모님이 데려다 주시는거라 택배 보낼 생각 하나도 안 하고 개많이 들고가는데 다들 짐 어느정도신가요..?,7,2026-02-22
18,4,everytime,기숙사 짐,기숙사 짐 옮길때,다들 어떻게 옮겼어? 지방러라 부모님 차로 짐 옮겨가는 중인데 교내 주차장 이용 가능하다고 뜨는데 남산학사 앞에 주차장이 있나?긱사 옮긴 사람들 어캐했는지 알려줘,5,2026-02-22
19,4,everytime,기숙사 짐,기숙사 짐,입사가 20-22일이고 짐은 그 이후에 언제든 가져가도 되는거죠? 입사기간엔 얼마나 챙겨가시나요 다들?,0,2026-02-20
20,4,everytime,기숙사 짐,기숙사 짐,"박스 4개, 작은 캐리어 하나, 침구가방 하나 나오는데 너무 많나요? 작은 캐리어랑 침구가방은 들고 가고 박스는 택배 보내려고요!",4,2026-02-19
21,4,everytime,기숙사 짐,기숙사,기숙사 짐 싸는데 저만 짐이 많나요? 거의 머 이사임,1,2026-02-19
22,4,everytime,기숙사 짐,짐 기숙사 입사 기간 아닐 때도,들고 갈 수 있나요??,0,2026-02-19
23,4,everytime,기숙사 짐,기숙사 짐,1. 옷이 별로 없어서 중간 크기 캐리어 두개+매트리스 이불도 같이 챙겨 가려고 하는데 박스로 짐 부치는 게 편한가요?2. 입소 시간 이전에도 로비에 짐 두는 건 가능한가요? 입학식 날 과 오티까지 한다고 하는데 시간이 마땅찮을 것 같아서요,1,2026-02-18
24,4,everytime,기숙사 짐,기숙사 짐,다들 기숙사에 짐 캐리어 몇개 정도 들고 가나요?,1,2026-02-18
25,4,everytime,기숙사 짐,기숙사 짐,"다들 기숙사에 짐 많이 들고 가나요..? 저 거의 캐리어 3,4개 분량인데 저만 이케 많이 들고 오는거 아니겠죠..",1,2026-02-18
26,4,everytime,기숙사 짐,기숙사 입사할때 짐 어느정도로 가져가면 되나요,침대 시트랑 이불에 개인짐만 조금 가져가면 되는거겠죠..?,0,2026-02-16
27,4,everytime,기숙사 짐,기숙사 짐 옮기는 시간,짐은 10시부터 옮길 수 있으면 20일에 입사했으면 그다음날 10시에 짐 옮겨도 되는건가요?,1,2026-02-16
28,4,everytime,기숙사 짐,지방에 사시는 분들 어떴게 기숙사로 짐 옮기나요?,제가 지방에 살아서 차로 왕복 9시간이여서 부모님 차를 빌리기는 좀 그래서 다른 방법이 있나요?,3,2026-02-15
29,4,everytime,기숙사 짐,기숙사입사기간에,기숟사 신청햇는데..원래는 입학식이랑 오티만 후딱하규 서울당일치기할로햇는데 만약에 기숙사 입사기간에 택배로 짐 보내놓구 26일쯤가서 정리햐도되나요?? 집에서 차타고가면 편도로 안막히면 4시간반 기차도 3시감걸려서 도저히 답이없어요 ㅜㅜ,1,2026-02-14
30,4,everytime,기숙사 짐,수강신청,수강신청 할 때 금방 끝나나요.그 날 기숙사 짐 넣어야해서 수강신청 끝내고 바로 입사하려는데..문제 없겠죠?,6,2026-02-11
31,4,everytime,기숙사 짐,기숙사 택배박스,다들 기숙사 짐 뭐로 가져가나요?큰 박스 몇개로 가져가고 싶은데 우체국 6호짜리 박스가 오프라인으로 거의 재고가 없다고 하네요다들 어떻게 하시나요??,2,2026-02-11
32,4,everytime,기숙사 짐,기숙사 물품 반입,기숙사 짐 옮길때 부모님도 방에 들어오실 수 있나요?,1,2026-02-08
33,4,everytime,기숙사 짐,기숙사 입사기간이랑 운전학원 도로주행 날짜랑 겹쳐요..,동국대학교 남산학사 기숙사 입사기간이 2월 20일~ 22일로 알고 있는데 운전학원 도로주행 교육날짜가 22 23일이고 도로주행 시험날짜가 24일이네요... 기숙사 일단 들어가서 호실 배정받고 짐 다 냅두고 나올수 있을까요..? 아니면 무조건 입사한 날부터 기숙사에 있어야하는 걸까요..?,5,2026-01-25
34,4,everytime,기숙사 짐,기숙사 짐,다들 긱사 짐 뺄 때 어느정도 나옴?ㅈㄴ 많아서 현타 와,5,2026-01-22
35,4,everytime,기숙사 짐,지금 기숙사도 짐 다 빼지않음?,할거면 저번주 금요일정도가 적당하지 않았을까,3,2026-12-16
36,4,everytime,기숙사 짐,택배,기숙사에서 보낼 때 그냥 박스 짐 싸고 택배 예약하구 1층에 두면 되나용..? ㅜㅜ 짐 슬슬 보내야 해서요,0,2026-11-22
37,4,everytime,기숙사 짐,기숙사 외박,기숙사 짐 올려두고 입사 처리하고 나서 바로 집에 내려갔다가 개강 전에 올라와도 되나요??,4,2026-08-19
38,4,everytime,기숙사 짐,아직도 기숙사 입/퇴사 시 힘들게 짐 옮기시나요? 남산학사 아나바다함 바로가기 👉,"기숙사 퇴사하면서 옷, 세제, 섬유유연제, 드라이기, 우산처럼 집까지 가져가기는 곤란하고 그냥 버리기에는 아까운 물건이 있으신가요? 😲에타에서 물건 줄 사람 힘들게 찾지 마시고 남산학사 1층에 설치된 아나바다함에 나눔해 보세요!안녕하세요, 🌱동국대학교 에코코&The",0,2026-08-14
39,4,everytime,기숙사 짐,기숙사 짐,가져오긴 했는데 생각보다도 차가 너무 많이 막혀서 수업시간이 될 것같아서… 혹시 큰 캐리어 하나랑 이불가방 정도 둘만한 데가 학교에 있을까요? 찾아봐도 충무로역밖에 안 나와서요ㅠㅠ,4,2026-03-26
40,4,everytime,기숙사 짐,기숙사 짐 가져가려는데 차로 가면 어디로 가야하나요,입사신청만 해놓고 본가에 살다가 오늘 짐 가져가는데 부모님 차로 가면 주소 어디로 찍고 가는게 좋다는데 다 말이 다른거 같아서요,0,2026-03-03
41,4,everytime,기숙사 짐,기숙사 짐,다들 어느정도 나와? 나만 이렇게 많나 싶어서참고로 여자임,0,2026-02-28
42,4,everytime,기숙사 짐,기숙사 바로앞 실제로 많이 혼잡한가요?,부모님 차타고 가는데 중도로비에서 짐 내릴지 기숙사 앞 도로에서 내릴지 고민되네요,0,2026-02-23
43,4,everytime,기숙사 짐,이과대 오티,오늘 기숙사 짐 정리하고 하느라 못 갔는데 알려주신 내용들 중에 중요한 거 뭐 있었나요?,0,2026-02-22
44,4,everytime,기숙사 짐,내일 입학식 가려고했는데,못가겠다 기숙사 짐 다 옮기고나니까 너무힘들음;;,0,2026-02-22
45,4,everytime,기숙사 짐,고양학사 주차장,부모님 차 타고 기숙사 짐 갖다두려는데 고양학사에 주차장 있나요? 아니면 잠시 차를 정차시킬 곳이 있을까요?,3,2026-02-21
46,4,everytime,기숙사 짐,기숙사 짐 옮길때!! 주소,필동로 1길 23 이랑 필동로 1길 30 둘중에 짐 옮길때 어디가 더 편한가요블로그에서 1길 23 추천한다고 봐서요ㅠ,9,2026-02-20
47,4,everytime,기숙사 짐,기숙사 입사일 부터 바로 생활해야하나요?,기숙사에 토요일에 짐만 놔두고 다시 지방으로 내려왔다가 개학 전에 올라갈 예정인데요.기숙사 통금도 있고 외박하려면 신청을 해야될텐데개학 하고 나서부터 적용되는건가요?!짐 옮기고 다시 내려가도 되죠..??,1,2026-02-20
48,4,everytime,기숙사 짐,기숙사 짐,기숙사 짐만 가져다 두고 나중에 들어가도 되나요??,4,2026-02-18
49,4,everytime,기숙사 짐,개강일 까지만 학교 오면 됨?,22일에 기숙사 짐 가져다 놓고 입학식 한 다음에 집으로 돌아가서 개강일 전날에만 다시 오면 됨?  아니면 그냥 개강일까지 기숙사에 남아있어야 함?,1,2026-02-17
50,4,everytime,기숙사 짐,입학식날 기숙사에 짐 놓고 출발할거라,조금 늦을 건데 괜찮겠죠…?,1,2026-02-16
51,4,everytime,기숙사 짐,기숙사 엘리베이터,기숙사에 엘리베이터 있나요?짐 옮길때 혹시 들고 다녀야 하나 해서요ㅠ그리고 여자층은 몇층인가요?,4,2026-02-13
52,4,everytime,기숙사 짐,기숙사 4개월 하면,"1, 2학기 다 붙었다는 가정 하에...방학에는 본가 내려갈거라 짐 다~~~빼고 다시2학기 개강시점에 짐 기숙사로 다~~ 옮기고 해야 하나요?ㅠ",1,2026-02-12
53,4,everytime,기숙사 짐,우체국 픽업 택배,"혹시 기숙사 퇴사하실 때, 우체국 픽업택배 이용해 보신분 계신가요?그냥 픽업택배 신청하고 기숙사 로비에 짐 놔두면 되는건가요?",5,2026-12-04
54,4,everytime,기숙사 짐,겨울 계절학기 기숙사 질문,겨울 계절 들으려고 하는데 주변에 단기 방이 없어서 기숙사 들어가려하는데 중도 퇴사하면 차기 선발에 후순위 된다고 해서요. 혹시 계절 종강하면 그냥 짐 두고 본가에서 있다가 퇴사할때 쯤 와서 퇴사해도 되나요??,1,2026-11-06
55,4,everytime,기숙사 짐,기숙사 택배,기숙사로 짐 택배보낸거 이렇게 문자왔는데토요일에 짐정리 + 입사 할라했거든오늘 안 가도 되는거지??,2,2026-08-24
56,4,everytime,기숙사 짐,기숙사 관련 질문입니다...,"이번 학기에 처음으로 들어가게 돼서요...!! 아싸쉑이라 주변에 물어볼 사람이 없어요 ㅠㅠ1. 침대 커버도 구비해야 한다 알고있는데 사이즈는 뭘로 사야되나요...? 다음주에 다른 짐 옮길때 가서 재 보고 사야될까여?2. 제가 26부터 31일까지 가족여행을 가는데,",9,2026-08-19
57,4,everytime,기숙사 짐,기숙사 곧 퇴사하는데 짐..?,짐 어디서 붙여요..? 6박스 정도 나오는제 ㅠㅠ 이거 들고 우체국 직접 가야 하나요..?,3,2026-06-12
58,4,everytime,기숙사 짐,,남산학사 4층 휴게실에 매일 가방이랑 짐 가지고 밥도 먹고 새벽까지 있는 사람 기숙사생 맞음??,2,2026-03-25
59,4,everytime,기숙사 짐,,기숙사 2층침대랑 싱글침대 있는분들중에 룸메 안 온 상태인데 싱글침대 사용하시는 분들 많으신가요.?? 저 싱글침대에 짐 다 정리했는데 괜찮겠죠.?,1,2026-02-25
60,4,everytime,기숙사 짐,,오늘 기숙사 들어가는데 짐 풀때 부모님이 도와주셔도 되는거지?,2,2026-02-25
61,4,everytime,기숙사 짐,,교내 주차장에서 기숙사까지 얼마나 걸리나요...? 짐 한가득인데 외부인 로비 출입 금지래서 걱정되네요ㅠㅠㅠ,0,2026-02-25
62,4,everytime,기숙사 짐,,기숙사 이층침대랑 싱글침대 있는데 먼저 들어왔으면 내가 쓰고 싶은 곳에 짐 풀어도 괜찮겠지..?,7,2026-02-24
63,4,everytime,기숙사 짐,,만약에 4개월 쓰고 방학 때 본가 갔다가 2학기 때 또 기숙사 쓰면 그 짐 다 가지고 본가 갔다가 다시 넣나요??,4,2026-02-24
64,4,everytime,기숙사 짐,,기숙사 바로 앞까지는 차 들어갈 수 있는거죠?들어가서는 저 혼자 짐 옮기는 거고요..,1,2026-02-24
65,4,everytime,기숙사 짐,,기숙사 짐 옮기신 분??,0,2026-02-24
66,4,everytime,기숙사 짐,,기숙사 25일에 입사하려는데 26 27 28 새터 가면 그사이에 짐 그대로 놔두고 가기 좀 그렇다….ㅠ,1,2026-02-22
67,4,everytime,기숙사 짐,,기숙사 짐이 큰 캐리어 두개에 작은 캐리어 하나 +백팩 하나인데 넘 많나 .. 옷장에 옷은 다 들어갈까 걱정이다 다들 짐 얼마나 들고 가?,5,2026-02-20
68,4,everytime,기숙사 짐,,기숙사 짐 옮기거나 할 때 보통 혼자서 다 하나? 택배로 하기에 짐이 너무 많아서 부모님이 올 수도 있을 거 같은데 기숙사 방 안까지 들어가시면 룸메가 좀 불편해하겠지?ㅜㅜ,9,2026-02-17
69,4,everytime,기숙사 짐,,남산 학사 홈페이지 보니까 기숙사 입사일이 2/23(목)이더라고요!! 주말도 아니고 평일이길래요..딱 23일 그날만 짐 옮기고 입사할수 있는건가요..?,4,2026-02-03
