keyword,frequency,category
옷,1202,패션/잡화
의자,553,가구
서랍,486,가구
테이블,479,가구
가방,429,패션/잡화
침대,346,가구
선반,338,가구
책상,336,가구
니트,306,패션/잡화
자켓,277,패션/잡화
옷장,260,가구
캐리어,245,육아/취미
원피스,242,패션/잡화
가구,234,가구
프레임,233,가구
식탁,223,가구
책,204,육아/취미
소파,203,가구
스탠드,194,가구
매트리스,181,가구
냉장고,180,가전
거울,171,가구
인형,166,육아/취미
신발,154,패션/잡화
쿠션,153,가구
캠핑,146,육아/취미
에어컨,146,가전
매트,137,가구
전자레인지,132,가전
바지,130,패션/잡화
세탁기,129,가전
책장,129,가구
가디건,125,패션/잡화
행거,122,가구
티셔츠,114,패션/잡화
조명,113,가구
코트,110,패션/잡화
자전거,101,육아/취미
건조기,97,가전
이불,96,가구
크림,92,뷰티/주방
후드,92,패션/잡화
패딩,87,패션/잡화
셔츠,86,패션/잡화
장난감,85,육아/취미
모니터,81,디지털
가전,75,가전
본체,75,디지털
숄더백,74,패션/잡화
그릇,69,뷰티/주방
밥솥,68,가전
티비,68,가전
부츠,67,패션/잡화
커튼,67,가구
노트북,65,디지털
컵,64,뷰티/주방
청소기,62,가전
청바지,62,패션/잡화
텀블러,61,뷰티/주방
컴퓨터,60,디지털
협탁,59,가구
선풍기,57,가전
가습기,56,가전
화장품,56,뷰티/주방
오븐,54,가전
공기청정기,53,가전
접시,53,뷰티/주방
냄비,50,뷰티/주방
텐트,47,육아/취미
유모차,47,육아/취미
모자,46,패션/잡화
신발장,45,가구
치마,43,패션/잡화
지갑,43,패션/잡화
골프,41,육아/취미
베개,41,가구
벨트,39,패션/잡화
운동화,37,패션/잡화
마우스,35,디지털
전집,33,육아/취미
스피커,32,가전
샌들,32,패션/잡화
충전기,32,디지털
시계,31,패션/잡화
카메라,30,디지털
다리미,30,가전
귀걸이,28,패션/잡화
히터,28,가전
브러쉬,26,뷰티/주방
목걸이,26,패션/잡화
정장,26,패션/잡화
러그,25,가구
구두,24,패션/잡화
김치냉장고,24,가전
인덕션,24,가전
팔찌,23,패션/잡화
핸드폰,23,디지털
식기세척기,23,가전
갤럭시,22,디지털
정수기,21,가전
장롱,21,가구
선글라스,19,패션/잡화
카시트,19,육아/취미
파티션,19,가구
제습기,18,가전
슬리퍼,17,패션/잡화
가스레인지,17,가전
침구,16,가구
블럭,16,육아/취미
트렁크,16,육아/취미
태블릿,16,디지털
전기포트,15,가전
스킨,15,뷰티/주방
휴대폰,14,디지털
아이폰,14,디지털
헤드폰,13,가전
이어폰,12,가전
장갑,12,패션/잡화
향수,11,뷰티/주방
프로젝터,11,가전
반지,11,패션/잡화
덤벨,11,육아/취미
아이패드,11,디지털
로션,11,뷰티/주방
닌텐도,10,디지털
클럽,10,육아/취미
목도리,9,패션/잡화
드라이기,8,가전
아령,8,육아/취미
믹서기,8,가전
립스틱,8,뷰티/주방
넥타이,7,패션/잡화
공유기,7,디지털
전기밥솥,7,가전
블렌더,7,가전
수저,7,뷰티/주방
카페트,7,가구
파운데이션,6,뷰티/주방
교구,6,육아/취미
전기장판,5,가전
블러셔,4,뷰티/주방
게임기,4,디지털
프라이팬,4,뷰티/주방
스카프,3,패션/잡화
플레이스테이션,2,디지털
러닝머신,2,육아/취미
클렌저,1,뷰티/주방
토스터,1,가전
